Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 ЮАО,Шаболовская,4,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,11,13,Предчистовая,1,39.9,22.9,3.0,Монолитно-кирпичный,Подземная,2024,22 068 575
 ЮАО,Нагатинская,4,3,Prime Life Development,«1-й Нагатинский»,Бизнес,квартира,14,30,Предчистовая,3,82.84,41.3,18.6,Монолитный,Подземная,2025,32 257 072
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,Студия,3,22,Без отделки,,24.0,,,Монолитно-кирпичный,"Подземная, гостевая",2025,9 011 760
 ЗАО,Мичуринский проспект,4,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,11,27,Неизвестно,1,45.2,,,Монолитный,"Подземная, гостевая",2022,17 230 000
 ЗАО,Мичуринский проспект,14,2,ДОНСТРОЙ,«Событие»,Бизнес,квартира,3,48,Без отделки,1,39.7,13.8,14.9,Монолитный,"Подземная, гостевая",2025,20 358 954
 ЗАО,,,0,Sezar Group,«Клубный дом Full House»,Бизнес,квартира,7,25,Без отделки,1,44.8,14.9,16.0,Монолитно-кирпичный,"Подземная, гостевая",2024,20 885 760
 САО,Зорге,13,3,St Michael,«Зорге 9»,Бизнес,апартаменты,2,21,Черновая,3,76.13,48.6,12.4,Монолитно-кирпичный,"Подземная, гостевая",2023,29 202 950
 ЮАО,Технопарк,5,3,Группа Эталон,«Shagal (Шагал)»,Бизнес,квартира,14,28,Без отделки,2,85.0,,,"Монолитно-кирпичный, монолитный",Подземная,2024,29 882 463
 ЮАО,Технопарк,6,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,квартира,3,35,Без отделки,3,81.6,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,30 723 477
 ЮВАО,Угрешская,2,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,2,18,Без отделки,2,42.3,11.2,17.7,Монолитный,Подземная,2025,12 808 318
 САО,Селигерская,11,3,MR Group,«Селигер Сити»,Бизнес,квартира,13,39,Без отделки,2,54.21,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,16 098 222
 ЮАО,Коломенская,4,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,10,19,Без отделки,3,83.6,48.7,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024,30 254 422
 ЮАО,Технопарк,6,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,квартира,3,35,Без отделки,3,81.6,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,30 723 477
 САО,Тимирязевская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,Студия,2,36,Чистовая,,26.21,14.6,3.6,Монолитный,"Подземная, гостевая",2025,13 380 216
 САО,Селигерская,11,3,MR Group,«Селигер Сити»,Бизнес,квартира,13,39,Без отделки,2,54.21,,,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026,16 098 222
