Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 ЦАО,Электрозаводская,15.0,2,Level Group,«Level Бауманская»,Бизнес,квартира,3.0,17.0,Без отделки,3.0,73.9,28.3,25.8,Монолитный,Подземная,2025.0,30439396,411899.81055480376
 СВАО,Бутырская,10.0,3,Sminex-Интеко,«Дом Достижение»,Премиум,квартира,2.0,21.0,Без отделки,3.0,79.46,42.6,11.8,Монолитный,Подземная,2024.0,32360000,407248.9302793859
 НАО (Новомосковский),Улица Скобелевская,5.0,3,А101,«Скандинавия»,Комфорт,квартира,2.0,15.0,Без отделки,3.0,57.5,22.8,18.1,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,12543077,218140.46956521738
 ЗАО,Раменки,2.0,3,Level Group,«Level Мичуринский»,Бизнес,квартира,20.0,54.0,Без отделки,2.0,53.9,13.1,21.0,Монолитный,"Подземная, гостевая",2025.0,20824266,386350.0185528757
 СЗАО,Полежаевская,3.0,3,ГК МИЦ,«Вереск»,Бизнес,квартира,2.0,9.0,Без отделки,3.0,88.9,45.9,17.8,Монолитный,"Подземная, гостевая",2023.0,27653790,311066.2542182227
 СВАО,Рижская,3.0,3,СИТИ21,«Hill8 (Хилл8)»,Премиум,апартаменты,4.0,15.0,Неизвестно,2.0,75.8,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2021.0,30146071,397705.4221635884
 ЮАО,Коломенская,3.0,3,Level Group,«Level Нагатинская (Левел Нагатинская)»,Бизнес,квартира,24.0,26.0,Без отделки,2.0,40.0,26.7,2.7,Монолитный,"Подземная, гостевая",2023.0,15593991,389849.775
 ЮАО,Шаболовская,4.0,3,СЗ Логос,«Logos (Логос)»,Премиум,апартаменты,11.0,13.0,Предчистовая,1.0,39.9,22.9,3.0,Монолитно-кирпичный,Подземная,2024.0,22068575,553097.1177944862
 ЮАО,Нагатинская,4.0,3,Prime Life Development,«1-й Нагатинский»,Бизнес,квартира,14.0,30.0,Предчистовая,3.0,82.84,41.3,18.6,Монолитный,Подземная,2025.0,32257072,389390.05311443744
 СЗАО,Трикотажная,4.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,Студия,3.0,22.0,Без отделки,1.0,24.0,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2025.0,9011760,375490.0
 ЗАО,Мичуринский проспект,4.0,2,Sminex-Интеко,«Вестердам»,Комфорт,квартира,11.0,27.0,Неизвестно,1.0,45.2,20.333629300776895,11.724697336561748,Монолитный,"Подземная, гостевая",2022.0,17230000,381194.6902654867
 ЗАО,Мичуринский проспект,14.0,2,ДОНСТРОЙ,«Событие»,Бизнес,квартира,3.0,48.0,Без отделки,1.0,39.7,13.8,14.9,Монолитный,"Подземная, гостевая",2025.0,20358954,512819.99999999994
 ЗАО,,5.0,0,Sezar Group,«Клубный дом Full House»,Бизнес,квартира,7.0,25.0,Без отделки,1.0,44.8,14.9,16.0,Монолитно-кирпичный,"Подземная, гостевая",2024.0,20885760,466200.00000000006
 САО,Зорге,13.0,3,St Michael,«Зорге 9»,Бизнес,апартаменты,2.0,21.0,Черновая,3.0,76.13,48.6,12.4,Монолитно-кирпичный,"Подземная, гостевая",2023.0,29202950,383593.1958492053
 ЮАО,Технопарк,5.0,3,Группа Эталон,«Shagal (Шагал)»,Бизнес,квартира,14.0,28.0,Без отделки,2.0,85.0,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный",Подземная,2024.0,29882463,351558.38823529414
 ЮАО,Технопарк,6.0,3,Группа Эталон,«Nagatino i-Land (Нагатино Ай-Ленд)»,Бизнес,квартира,3.0,35.0,Без отделки,3.0,81.6,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026.0,30723477,376513.1985294118
 ЮВАО,Угрешская,2.0,3,Level Group,«Level Южнопортовая»,Комфорт,квартира,2.0,18.0,Без отделки,2.0,42.3,11.2,17.7,Монолитный,Подземная,2025.0,12808318,302797.1158392435
 САО,Селигерская,11.0,3,MR Group,«Селигер Сити»,Бизнес,квартира,13.0,39.0,Без отделки,2.0,54.21,20.333629300776895,11.724697336561748,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2026.0,16098222,296960.3763143331
 ЮАО,Коломенская,4.0,3,Аеон Девелопмент,«Ривер Парк Коломенское»,Бизнес,квартира,10.0,19.0,Без отделки,3.0,83.6,48.7,9.5,"Монолитно-кирпичный, монолитный","Подземная, гостевая",2024.0,30254422,361895.0
 САО,Тимирязевская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,Студия,2.0,36.0,Чистовая,1.0,26.21,14.6,3.6,Монолитный,"Подземная, гостевая",2025.0,13380216,510500.4196871423
 ЗАО,Лужники,3.0,3,MR Group,«Hide («Хайд»)»,Премиум,Студия,6.0,41.0,Предчистовая,1.0,32.1,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,20527661,639490.9968847352
 ЗАО,Кунцевская,5.0,2,ГК Основа,«MainStreet (Мейнстрит)»,Бизнес,апартаменты,5.0,9.0,Неизвестно,3.0,77.3,49.4,10.0,Монолитный,"Подземная, гостевая",2022.0,22030500,285000.0
